id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,82,30,89,30/11/2019,0.73,2,303,0,
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,92,1,340,10/10/2021,5.43,7,207,70,
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,01/01/2020,2.68,7,0,0,
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Shared room,33,1,291,16/10/2021,3.4,7,225,12,
160594,Historic Grove Park,769252,Elizabeth,,28801,35.61442,-82.54127,Private room,125,30,58,19/10/2015,0.47,1,0,0,
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,134,30,57,09/01/2021,0.52,1,295,1,
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,68,3,57,30/10/2019,0.55,3,21,0,
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,76,1,607,17/10/2021,17.58,1,171,71,
295496,The Fern Street Apt near Biltmore,1501882,Debbie,,28803,35.55537,-82.53539,Entire home/apt,50,90,32,10/10/2020,0.27,1,204,0,
304379,Refocus Cottage - paradise,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,289,30,24,03/08/2019,0.21,2,321,0,
353092,Athena's Loft:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,75,2,505,10/10/2021,10.06,1,75,6,
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,125,2,46,23/05/2021,4.71,1,315,6,
433646,Historic Arts and Craft Home,1931430,Ana,,28801,35.57771,-82.56094,Private room,137,2,106,10/10/2021,0.94,3,302,10,
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,,28801,35.60182,-82.56174,Entire home/apt,155,2,327,12/10/2021,3.59,3,8,33,
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28803,35.56118,-82.57784,Entire home/apt,142,1,560,07/10/2021,7.34,1,317,85,
495111,Walk Downtown private bath peaceful,12874214,David,,28801,35.60371,-82.55621,Private room,95,2,390,17/10/2021,3.74,3,338,49,
498089,Urban Getaway - Perfect Location,2164379,Anne Marie,,28801,35.61115,-82.54376,Entire home/apt,85,30,132,16/09/2021,1.18,1,150,2,
621243,The birdhouse.Sweet suite! Downtown Roof top deck!,3079174,Molly,,28801,35.60418,-82.54964,Entire home/apt,175,30,97,27/09/2021,2.22,1,168,25,
638349,Walkable West Asheville,2799158,Kari,,28806,35.58323,-82.59206,Entire home/apt,125,14,8,05/04/2016,0.08,1,0,0,
660702,Private Home 1 mile to downtown,3335271,Brady,,28804,35.62166,-82.55373,Entire home/apt,101,1,548,29/09/2021,54.08,1,345,80,
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62272,-82.50285,Private room,44,2,211,20/09/2021,4.55,2,305,22,
695196,"Private, Downtown & River Arts",3552264,Michelle,,28801,35.58131,-82.55741,Private room,60,1,1067,04/10/2021,17.32,2,217,91,
